,Station_Name,Owner,Latitude,Longitude,Wind Dir.,Wind speed,Wave Height,Dom Wave Period,Ave Wave Period,Wave Dir.,Sea Level Pressure,Air Temp.,Sea Surface Temp.,Dewpoint Temp.,Station Visib.,Water Level,Energy Flux,Wave Height Cat,Wave Period Cat
0,44005,Shell Oil Stations,43.204,-69.128,194.9347265,5.779915533,1.360170308,7.705,5.288071979,161.282,1016.041,9.71,11.016,11.471,,,4790.355456,Tall,Long
1,44095,Shell Oil Stations,35.75,-75.33,,,1.340240315,8.322,5.550170826,102.439,,,18.003,,,,4881.524881,Tall,Long
2,42020,Shell Oil Stations,26.968,-96.694,135.8603689,6.457538704,1.280800836,6.563,4.851848886,111.423,1015.087,24.147,25.139,21.528,,,3897.214164,Tall,Average
3,41044,Shell Oil Stations,21.639,-58.614,100.2088619,5.671706575,1.712406485,9.369,6.34987956,107.313,1018.619,26.441,27.263,21.352,,,9117.232241,Very Tall,Long
4,46053,Shell Oil Stations,34.248,-119.841,222.2796825,4.491136315,1.133479671,10.07,5.965806788,253.15,1015.245,15.322,15.757,12.949,,,3753.016352,Tall,Long
5,46025,Shell Oil Stations,33.749,-119.053,224.9799487,3.826792315,1.081137496,12.421,6.313183134,217.177,1014.969,16.306,16.991,14.255,,,3613.217032,Tall,Long
6,42059,Shell Oil Stations,15.054,-67.472,101.6907703,7.06054023,1.401603741,7.104,5.11405265,98.25,1013.761,28.421,28.786,24.541,,,4919.256777,Tall,Long
7,51210,Shell Oil Stations,21.477,-157.756,,,1.665863057,9.179,6.401333177,101.878,,,25.892,,,,8698.268874,Very Tall,Long
8,46047,Shell Oil Stations,32.403,-119.536,285.247148,5.7946744,2.04874666,12.172,7.353774017,277.114,1014.856,16.07,17.013,13.906,,,15113.69308,Very Tall,Very Long
9,44099,Shell Oil Stations,36.901,-75.72,,,1.012602569,8.188,4.997139798,109.822,,,18.394,,,,2508.899998,Tall,Average
10,46069,Shell Oil Stations,33.67,-120.2,281.7228772,6.847324003,2.017526415,12.116,7.134306175,275.767,1015.121,15.231,15.999,14.169,,,14219.16207,Very Tall,Very Long
11,46081,Shell Oil Stations,60.803,-148.263,142.3369081,4.178978062,0.158125898,3.125,2.785776085,113.818,1012.816,7.61,9.162,5.285,,,34.1064108,Low Height,Short
12,46029,Shell Oil Stations,46.159,-124.514,199.6646193,5.727069843,2.112267576,11.509,7.049442646,277.658,1017.148,11.784,12.642,8.763,,,15400.55771,Very Tall,Very Long
13,46108,Shell Oil Stations,59.59,-151.817,,,0.630646353,5.11,3.732433063,244.517,,,8.303,,,,726.8547071,Average Height,Average
14,46256,Shell Oil Stations,33.7,-118.201,,,0.858272754,14.236,7.97283629,212.176,,,16.983,,,,2875.72465,Average Height,Very Long
15,44027,Shell Oil Stations,44.273,-67.314,212.9435054,6.992214253,1.438568318,7.094,5.0163092,183.574,1014.899,6.712,8.458,7.794,,,5083.105022,Tall,Long
